name,damage_class,type,power,accuracy,pp,priority,target,effect,effect_chance,pokemon,pokemon_count,generation,meta,machines_count,machines
quick-attack,physical,normal,40.0,100.0,30,1,selected-pokemon,Inflicts regular damage.,,"pidgey, pidgeotto, pidgeot, rattata, raticate, spearow, fearow, pikachu, raichu, vulpix, ninetales, zubat, golbat, ponyta, rapidash, farfetchd, doduo, dodrio, goldeen, seaking, scyther, electabuzz, pinsir, eevee, vaporeon, jolteon, flareon, cyndaquil, quilava, typhlosion, sentret, furret, natu, yanma, espeon, umbreon, murkrow, gligar, scizor, sneasel, delibird, hitmontop, elekid, raikou, treecko, grovyle, sceptile, torchic, combusken, blaziken, seedot, nuzleaf, shiftry, taillow, swellow, wingull, pelipper, surskit, masquerain, electrike, manectric, plusle, minun, volbeat, illumise, trapinch, vibrava, flygon, zangoose, absol, starly, staravia, staraptor, bidoof, shinx, pachirisu, buizel, floatzel, buneary, lopunny, glameow, riolu, lucario, weavile, electivire, yanmega, leafeon, glaceon, gliscor, darkrai, victini, purrloin, pidove, tranquill, unfezant, blitzle, zebstrika, archen, archeops, emolga, accelgor, cobalion, terrakion, virizion, meloetta-aria, genesect, froakie, frogadier, greninja, bunnelby, diggersby, fletchling, fletchinder, talonflame, helioptile, heliolisk, sylveon, lycanroc-midday, passimian, tapu-koko, zeraora, scorbunny, raboot, cinderace, nickit, thievul, morpeko-full-belly, dreepy, drakloak, dragapult, zacian, zamazenta, kleavor, sneasler, sprigatito, floragato, meowscarada, pawmi, pawmo, pawmot, squawkabilly, wattrel, kilowattrel, flittle, espathra, cyclizar, iron-leaves, fezandipiti, ogerpon, iron-boulder, shaymin-sky, meloetta-pirouette, pinsir-mega, scizor-mega, blaziken-mega, manectric-mega, absol-mega, lucario-mega, sceptile-mega, pidgeot-mega, pikachu-rock-star, pikachu-belle, pikachu-pop-star, pikachu-phd, pikachu-libre, pikachu-cosplay, lopunny-mega, rattata-alola, raticate-alola, raticate-totem-alola, pikachu-original-cap, pikachu-hoenn-cap, pikachu-sinnoh-cap, pikachu-unova-cap, pikachu-kalos-cap, pikachu-alola-cap, raichu-alola, greninja-battle-bond, greninja-ash, pikachu-partner-cap, lycanroc-dusk, pikachu-starter, eevee-starter, pikachu-world-cap, rapidash-galar, farfetchd-galar, morpeko-hangry, zacian-crowned, zamazenta-crowned, typhlosion-hisui, sneasel-hisui, squawkabilly-blue-plumage, squawkabilly-yellow-plumage, squawkabilly-white-plumage, ogerpon-wellspring-mask, ogerpon-hearthflame-mask, ogerpon-cornerstone-mask",197,generation-i,damage,0,
rage,physical,normal,20.0,100.0,20,0,selected-pokemon,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",,"bulbasaur, ivysaur, venusaur, charmander, charmeleon, charizard, squirtle, wartortle, blastoise, butterfree, beedrill, pidgey, pidgeotto, pidgeot, rattata, raticate, spearow, fearow, ekans, arbok, pikachu, raichu, sandshrew, sandslash, nidoran-f, nidorina, nidoqueen, nidoran-m, nidorino, nidoking, clefairy, clefable, vulpix, ninetales, jigglypuff, wigglytuff, zubat, golbat, oddish, gloom, vileplume, paras, parasect, venonat, venomoth, diglett, dugtrio, meowth, persian, psyduck, golduck, mankey, primeape, growlithe, arcanine, poliwag, poliwhirl, poliwrath, abra, kadabra, alakazam, machop, machoke, machamp, bellsprout, weepinbell, victreebel, tentacool, tentacruel, geodude, graveler, golem, ponyta, rapidash, slowpoke, slowbro, magnemite, magneton, farfetchd, doduo, dodrio, seel, dewgong, grimer, muk, shellder, cloyster, gastly, haunter, gengar, onix, drowzee, hypno, krabby, kingler, voltorb, electrode, exeggcute, exeggutor, cubone, marowak, hitmonlee, hitmonchan, lickitung, koffing, weezing, rhyhorn, rhydon, chansey, tangela, kangaskhan, horsea, seadra, goldeen, seaking, staryu, starmie, mr-mime, scyther, jynx, electabuzz, magmar, pinsir, tauros, gyarados, lapras, eevee, vaporeon, jolteon, flareon, porygon, omanyte, omastar, kabuto, kabutops, aerodactyl, snorlax, articuno, zapdos, moltres, dratini, dragonair, dragonite, mewtwo, mew, totodile, croconaw, feraligatr, dunsparce, steelix, snubbull, granbull, houndour, stantler, beautifly, taillow, carvanha, sharpedo, swablu, bagon, shelgon, salamence, blitzle, basculin-red-striped, sandile, krokorok, krookodile, darumaka, darmanitan-standard, bouffalant, type-null, silvally, bruxish, basculin-blue-striped, darmanitan-zen, kangaskhan-mega, gyarados-mega, sharpedo-mega, steelix-mega, salamence-mega, beedrill-mega, marowak-alola",182,generation-i,damage,1,"red-blue, yellow"
teleport,status,psychic,,,20,-6,user,Does nothing.  Wild battles end immediately.,,"butterfree, clefairy, clefable, jigglypuff, wigglytuff, venomoth, arcanine, abra, kadabra, alakazam, slowpoke, slowbro, magnemite, magneton, shellder, cloyster, drowzee, hypno, voltorb, electrode, exeggcute, exeggutor, chansey, staryu, starmie, mr-mime, jynx, electabuzz, magmar, porygon, mewtwo, mew, natu, xatu, ralts, kirlia, gardevoir, claydol, deoxys-normal, gallade, elgyem, beheeyem, cosmog, cosmoem, solgaleo, lunala, deoxys-attack, deoxys-defense, alakazam-mega, mewtwo-mega-x, mewtwo-mega-y, gardevoir-mega, gallade-mega, slowbro-mega, raichu-alola, exeggutor-alola",56,generation-i,unique,2,"lets-go-pikachu-lets-go-eevee, red-blue, yellow"
night-shade,special,ghost,,100.0,15,0,selected-pokemon,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",,"clefairy, clefable, ninetales, venonat, venomoth, kadabra, alakazam, gastly, haunter, gengar, drowzee, hypno, mewtwo, mew, typhlosion, hoothoot, noctowl, spinarak, ariados, natu, xatu, murkrow, misdreavus, gardevoir, sableye, meditite, medicham, spoink, grumpig, shuppet, banette, duskull, dusclops, deoxys-normal, drifloon, drifblim, mismagius, honchkrow, bronzong, chatot, spiritomb, gallade, dusknoir, froslass, rotom, darkrai, yamask, cofagrigus, zorua, zoroark, solosis, duosion, reuniclus, frillish, jellicent, litwick, lampent, chandelure, golett, golurk, delphox, phantump, trevenant, rowlet, dartrix, decidueye, sandygast, palossand, mimikyu-disguised, lunala, blacephalon, sinistea, polteageist, cursola, runerigus, drakloak, dragapult, spectrier, basculegion-male, skeledirge, charcadet, armarouge, ceruledge, bramblin, brambleghast, espathra, greavard, houndstone, annihilape, farigiraf, flutter-mane, gimmighoul, gholdengo, poltchageist, sinistcha, munkidori, pecharunt, deoxys-attack, deoxys-defense, deoxys-speed, rotom-heat, rotom-wash, rotom-frost, rotom-fan, rotom-mow, alakazam-mega, gengar-mega, banette-mega, sableye-mega, mimikyu-busted, corsola-galar, yamask-galar, calyrex-shadow, typhlosion-hisui, zorua-hisui, zoroark-hisui, braviary-hisui, basculegion-female, gimmighoul-roaming",119,generation-i,damage,0,scarlet-violet
mimic,status,normal,,,10,0,selected-pokemon,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.",,"bulbasaur, ivysaur, venusaur, charmander, charmeleon, charizard, squirtle, wartortle, blastoise, butterfree, beedrill, pidgey, pidgeotto, pidgeot, rattata, raticate, spearow, fearow, ekans, arbok, pikachu, raichu, sandshrew, sandslash, nidoran-f, nidorina, nidoqueen, nidoran-m, nidorino, nidoking, clefairy, clefable, vulpix, ninetales, jigglypuff, wigglytuff, zubat, golbat, oddish, gloom, vileplume, paras, parasect, venonat, venomoth, diglett, dugtrio, meowth, persian, psyduck, golduck, mankey, primeape, growlithe, arcanine, poliwag, poliwhirl, poliwrath, abra, kadabra, alakazam, machop, machoke, machamp, bellsprout, weepinbell, victreebel, tentacool, tentacruel, geodude, graveler, golem, ponyta, rapidash, slowpoke, slowbro, magnemite, magneton, farfetchd, doduo, dodrio, seel, dewgong, grimer, muk, shellder, cloyster, gastly, haunter, gengar, onix, drowzee, hypno, krabby, kingler, voltorb, electrode, exeggcute, exeggutor, cubone, marowak, hitmonlee, hitmonchan, lickitung, koffing, weezing, rhyhorn, rhydon, chansey, tangela, kangaskhan, horsea, seadra, goldeen, seaking, staryu, starmie, mr-mime, scyther, jynx, electabuzz, magmar, pinsir, tauros, gyarados, lapras, eevee, vaporeon, jolteon, flareon, porygon, omanyte, omastar, kabuto, kabutops, aerodactyl, snorlax, articuno, zapdos, moltres, dratini, dragonair, dragonite, mewtwo, mew, chikorita, bayleef, meganium, cyndaquil, quilava, typhlosion, totodile, croconaw, feraligatr, sentret, furret, hoothoot, noctowl, ledyba, ledian, spinarak, ariados, crobat, chinchou, lanturn, pichu, cleffa, igglybuff, togepi, togetic, natu, xatu, mareep, flaaffy, ampharos, bellossom, marill, azumarill, sudowoodo, politoed, hoppip, skiploom, jumpluff, aipom, sunkern, sunflora, yanma, wooper, quagsire, espeon, umbreon, murkrow, slowking, misdreavus, girafarig, pineco, forretress, dunsparce, gligar, steelix, snubbull, granbull, qwilfish, scizor, shuckle, heracross, sneasel, teddiursa, ursaring, slugma, magcargo, swinub, piloswine, corsola, remoraid, octillery, delibird, mantine, skarmory, houndour, houndoom, kingdra, phanpy, donphan, porygon2, stantler, tyrogue, hitmontop, smoochum, elekid, magby, miltank, blissey, raikou, entei, suicune, larvitar, pupitar, tyranitar, lugia, ho-oh, celebi, treecko, grovyle, sceptile, torchic, combusken, blaziken, mudkip, marshtomp, swampert, poochyena, mightyena, zigzagoon, linoone, beautifly, dustox, lotad, lombre, ludicolo, seedot, nuzleaf, shiftry, taillow, swellow, wingull, pelipper, ralts, kirlia, gardevoir, surskit, masquerain, shroomish, breloom, slakoth, vigoroth, slaking, nincada, ninjask, shedinja, whismur, loudred, exploud, makuhita, hariyama, azurill, nosepass, skitty, delcatty, sableye, mawile, aron, lairon, aggron, meditite, medicham, electrike, manectric, plusle, minun, volbeat, illumise, roselia, gulpin, swalot, carvanha, sharpedo, wailmer, wailord, numel, camerupt, torkoal, spoink, grumpig, spinda, trapinch, vibrava, flygon, cacnea, cacturne, swablu, altaria, zangoose, seviper, lunatone, solrock, barboach, whiscash, corphish, crawdaunt, baltoy, claydol, lileep, cradily, anorith, armaldo, feebas, milotic, castform, kecleon, shuppet, banette, duskull, dusclops, tropius, chimecho, absol, snorunt, glalie, spheal, sealeo, walrein, clamperl, huntail, gorebyss, relicanth, luvdisc, bagon, shelgon, salamence, metang, metagross, regirock, regice, registeel, latias, latios, kyogre, groudon, rayquaza, jirachi, deoxys-normal, bonsly, mime-jr, chatot, furfrou, mimikyu-disguised, mr-rime, squawkabilly, deoxys-attack, deoxys-defense, deoxys-speed, castform-sunny, castform-rainy, castform-snowy, mimikyu-busted, mimikyu-totem-disguised, mimikyu-totem-busted, mr-mime-galar, squawkabilly-blue-plumage, squawkabilly-yellow-plumage, squawkabilly-white-plumage",392,generation-i,unique,1,"red-blue, yellow"
screech,status,normal,,85.0,40,0,selected-pokemon,Lowers the target's Defense by two stages.,,"rattata, ekans, arbok, jigglypuff, wigglytuff, golbat, paras, parasect, venonat, venomoth, diglett, dugtrio, meowth, persian, psyduck, golduck, mankey, primeape, tentacool, tentacruel, magnemite, magneton, grimer, muk, shellder, cloyster, onix, voltorb, electrode, cubone, marowak, lickitung, koffing, weezing, jynx, electabuzz, magmar, kabuto, kabutops, snorlax, mew, totodile, croconaw, feraligatr, hoothoot, noctowl, ledyba, spinarak, ariados, crobat, chinchou, lanturn, igglybuff, mareep, politoed, aipom, yanma, umbreon, murkrow, misdreavus, dunsparce, gligar, steelix, sneasel, corsola, remoraid, octillery, elekid, magby, larvitar, pupitar, tyranitar, treecko, grovyle, sceptile, mudkip, marshtomp, swampert, shiftry, ninjask, whismur, loudred, exploud, aron, lairon, aggron, carvanha, sharpedo, vibrava, flygon, seviper, anorith, armaldo, kecleon, shuppet, banette, huntail, kricketune, cranidos, rampardos, shieldon, bastiodon, vespiquen, ambipom, stunky, skuntank, munchlax, riolu, lucario, skorupi, drapion, croagunk, toxicroak, weavile, magnezone, lickilicky, electivire, magmortar, yanmega, gliscor, oshawott, dewott, samurott, patrat, purrloin, liepard, blitzle, zebstrika, tympole, palpitoad, seismitoad, sewaddle, swadloon, leavanny, venipede, whirlipede, scolipede, maractus, garbodor, karrablast, escavalier, joltik, galvantula, klink, klang, klinklang, elgyem, beheeyem, pawniard, bisharp, durant, deino, zweilous, hydreigon, larvesta, volcarona, genesect, honedge, doublade, aegislash-shield, binacle, barbaracle, noibat, noivern, pikipek, trumbeak, toucannon, grubbin, charjabug, vikavolt, wimpod, golisopod, pyukumuku, mimikyu-disguised, bruxish, jangmo-o, hakamo-o, kommo-o, tapu-koko, kartana, grookey, thwackey, rillaboom, corviknight, nickit, thievul, silicobra, sandaconda, toxtricity-amped, obstagoon, perrserker, cursola, mr-rime, falinks, cufant, copperajah, duraludon, eternatus, regieleki, sneasler, nymble, lokix, toedscool, toedscruel, varoom, revavroom, annihilape, dudunsparce, sandy-shocks, iron-moth, iron-thorns, koraidon, aegislash-blade, tyranitar-mega, banette-mega, sceptile-mega, sharpedo-mega, steelix-mega, diglett-alola, dugtrio-alola, meowth-alola, persian-alola, geodude-alola, graveler-alola, golem-alola, grimer-alola, muk-alola, marowak-alola, mimikyu-busted, kommo-o-totem, meowth-galar, weezing-galar, mr-mime-galar, zapdos-galar, corsola-galar, zigzagoon-galar, linoone-galar, stunfisk-galar, toxtricity-low-key, eternatus-eternamax, voltorb-hisui, electrode-hisui, sneasel-hisui, dudunsparce-three-segment, koraidon-limited-build, koraidon-sprinting-build, koraidon-swimming-build, koraidon-gliding-build",248,generation-i,net-good-stats,0,sword-shield
double-team,status,normal,,,15,0,user,Raises the user's evasion by one stage.,,"bulbasaur, ivysaur, venusaur, charmander, charmeleon, charizard, squirtle, wartortle, blastoise, butterfree, beedrill, pidgey, pidgeotto, pidgeot, rattata, raticate, spearow, fearow, ekans, arbok, pikachu, raichu, sandshrew, sandslash, nidoran-f, nidorina, nidoqueen, nidoran-m, nidorino, nidoking, clefairy, clefable, vulpix, ninetales, jigglypuff, wigglytuff, zubat, golbat, oddish, gloom, vileplume, paras, parasect, venonat, venomoth, diglett, dugtrio, meowth, persian, psyduck, golduck, mankey, primeape, growlithe, arcanine, poliwag, poliwhirl, poliwrath, abra, kadabra, alakazam, machop, machoke, machamp, bellsprout, weepinbell, victreebel, tentacool, tentacruel, geodude, graveler, golem, ponyta, rapidash, slowpoke, slowbro, magnemite, magneton, farfetchd, doduo, dodrio, seel, dewgong, grimer, muk, shellder, cloyster, gastly, haunter, gengar, onix, drowzee, hypno, krabby, kingler, voltorb, electrode, exeggcute, exeggutor, cubone, marowak, hitmonlee, hitmonchan, lickitung, koffing, weezing, rhyhorn, rhydon, chansey, tangela, kangaskhan, horsea, seadra, goldeen, seaking, staryu, starmie, mr-mime, scyther, jynx, electabuzz, magmar, pinsir, tauros, gyarados, lapras, eevee, vaporeon, jolteon, flareon, porygon, omanyte, omastar, kabuto, kabutops, aerodactyl, snorlax, articuno, zapdos, moltres, dratini, dragonair, dragonite, mewtwo, mew, chikorita, bayleef, meganium, cyndaquil, quilava, typhlosion, totodile, croconaw, feraligatr, sentret, furret, hoothoot, noctowl, ledyba, ledian, spinarak, ariados, crobat, chinchou, lanturn, pichu, cleffa, igglybuff, togepi, togetic, natu, xatu, mareep, flaaffy, ampharos, bellossom, marill, azumarill, sudowoodo, politoed, hoppip, skiploom, jumpluff, aipom, sunkern, sunflora, yanma, wooper, quagsire, espeon, umbreon, murkrow, slowking, misdreavus, girafarig, pineco, forretress, dunsparce, gligar, steelix, snubbull, granbull, qwilfish, scizor, shuckle, heracross, sneasel, teddiursa, ursaring, slugma, magcargo, swinub, piloswine, corsola, remoraid, octillery, delibird, mantine, skarmory, houndour, houndoom, kingdra, phanpy, donphan, porygon2, stantler, tyrogue, hitmontop, smoochum, elekid, magby, miltank, blissey, raikou, entei, suicune, larvitar, pupitar, tyranitar, lugia, ho-oh, celebi, treecko, grovyle, sceptile, torchic, combusken, blaziken, mudkip, marshtomp, swampert, poochyena, mightyena, zigzagoon, linoone, beautifly, dustox, lotad, lombre, ludicolo, seedot, nuzleaf, shiftry, taillow, swellow, wingull, pelipper, ralts, kirlia, gardevoir, surskit, masquerain, shroomish, breloom, slakoth, vigoroth, slaking, nincada, ninjask, shedinja, whismur, loudred, exploud, makuhita, hariyama, azurill, nosepass, skitty, delcatty, sableye, mawile, aron, lairon, aggron, meditite, medicham, electrike, manectric, plusle, minun, volbeat, illumise, roselia, gulpin, swalot, carvanha, sharpedo, wailmer, wailord, numel, camerupt, torkoal, spoink, grumpig, spinda, trapinch, vibrava, flygon, cacnea, cacturne, swablu, altaria, zangoose, seviper, lunatone, solrock, barboach, whiscash, corphish, crawdaunt, baltoy, claydol, lileep, cradily, anorith, armaldo, feebas, milotic, castform, kecleon, shuppet, banette, duskull, dusclops, tropius, chimecho, absol, snorunt, glalie, spheal, sealeo, walrein, clamperl, huntail, gorebyss, relicanth, luvdisc, bagon, shelgon, salamence, metang, metagross, regirock, regice, registeel, latias, latios, kyogre, groudon, rayquaza, jirachi, deoxys-normal, turtwig, grotle, torterra, chimchar, monferno, infernape, piplup, prinplup, empoleon, starly, staravia, staraptor, bidoof, bibarel, kricketune, shinx, luxio, luxray, budew, roserade, cranidos, rampardos, shieldon, bastiodon, wormadam-plant, mothim, vespiquen, pachirisu, buizel, floatzel, cherubi, cherrim, shellos, gastrodon, ambipom, drifloon, drifblim, buneary, lopunny, mismagius, honchkrow, glameow, purugly, chingling, stunky, skuntank, bronzor, bronzong, bonsly, mime-jr, happiny, chatot, spiritomb, gible, gabite, garchomp, munchlax, riolu, lucario, hippopotas, hippowdon, skorupi, drapion, croagunk, toxicroak, carnivine, finneon, lumineon, mantyke, snover, abomasnow, weavile, magnezone, lickilicky, rhyperior, tangrowth, electivire, magmortar, togekiss, yanmega, leafeon, glaceon, gliscor, mamoswine, porygon-z, gallade, probopass, dusknoir, froslass, rotom, uxie, mesprit, azelf, dialga, palkia, heatran, regigigas, giratina-altered, cresselia, phione, manaphy, darkrai, shaymin-land, arceus, victini, snivy, servine, serperior, tepig, pignite, emboar, oshawott, dewott, samurott, patrat, watchog, lillipup, herdier, stoutland, purrloin, liepard, pansage, simisage, pansear, simisear, panpour, simipour, munna, musharna, pidove, tranquill, unfezant, blitzle, zebstrika, roggenrola, boldore, gigalith, woobat, swoobat, drilbur, excadrill, audino, timburr, gurdurr, conkeldurr, tympole, palpitoad, seismitoad, throh, sawk, sewaddle, swadloon, leavanny, venipede, whirlipede, scolipede, cottonee, whimsicott, petilil, lilligant, basculin-red-striped, sandile, krokorok, krookodile, darumaka, darmanitan-standard, maractus, dwebble, crustle, scraggy, scrafty, sigilyph, yamask, cofagrigus, tirtouga, carracosta, archen, archeops, trubbish, garbodor, zorua, zoroark, minccino, cinccino, gothita, gothorita, gothitelle, solosis, duosion, reuniclus, ducklett, swanna, vanillite, vanillish, vanilluxe, deerling, sawsbuck, emolga, karrablast, escavalier, foongus, amoonguss, frillish, jellicent, alomomola, joltik, galvantula, ferroseed, ferrothorn, klink, klang, klinklang, eelektrik, eelektross, elgyem, beheeyem, litwick, lampent, chandelure, axew, fraxure, haxorus, cubchoo, beartic, cryogonal, shelmet, accelgor, stunfisk, mienfoo, mienshao, druddigon, golett, golurk, pawniard, bisharp, bouffalant, rufflet, braviary, vullaby, mandibuzz, heatmor, durant, deino, zweilous, hydreigon, larvesta, volcarona, cobalion, terrakion, virizion, tornadus-incarnate, thundurus-incarnate, reshiram, zekrom, landorus-incarnate, kyurem, keldeo-ordinary, meloetta-aria, genesect, chespin, quilladin, chesnaught, fennekin, braixen, delphox, froakie, frogadier, greninja, bunnelby, diggersby, fletchling, fletchinder, talonflame, vivillon, litleo, pyroar, flabebe, floette, florges, skiddo, gogoat, pancham, pangoro, furfrou, espurr, meowstic-male, honedge, doublade, aegislash-shield, spritzee, aromatisse, swirlix, slurpuff, inkay, malamar, binacle, barbaracle, skrelp, dragalge, clauncher, clawitzer, helioptile, heliolisk, tyrunt, tyrantrum, amaura, aurorus, sylveon, hawlucha, dedenne, carbink, goomy, sliggoo, goodra, klefki, phantump, trevenant, pumpkaboo-average, gourgeist-average, bergmite, avalugg, noibat, noivern, xerneas, yveltal, zygarde-50, diancie, hoopa, volcanion, rowlet, dartrix, decidueye, litten, torracat, incineroar, popplio, brionne, primarina, pikipek, trumbeak, toucannon, yungoos, gumshoos, grubbin, charjabug, vikavolt, crabrawler, crabominable, oricorio-baile, cutiefly, ribombee, rockruff, lycanroc-midday, wishiwashi-solo, mareanie, toxapex, mudbray, mudsdale, dewpider, araquanid, fomantis, lurantis, morelull, shiinotic, salandit, salazzle, stufful, bewear, bounsweet, steenee, tsareena, comfey, oranguru, passimian, wimpod, golisopod, sandygast, palossand, pyukumuku, type-null, silvally, minior-red-meteor, komala, turtonator, togedemaru, mimikyu-disguised, bruxish, drampa, dhelmise, jangmo-o, hakamo-o, kommo-o, tapu-koko, tapu-lele, tapu-fini, solgaleo, lunala, nihilego, buzzwole, pheromosa, xurkitree, celesteela, kartana, guzzlord, necrozma, magearna, marshadow, naganadel, blacephalon, zeraora, sobble, drizzile, inteleon, dreepy, kleavor, meowscarada, flamigo, iron-valiant, deoxys-attack, deoxys-defense, deoxys-speed, wormadam-sandy, wormadam-trash, shaymin-sky, giratina-origin, rotom-heat, rotom-wash, rotom-frost, rotom-fan, rotom-mow, castform-sunny, castform-rainy, castform-snowy, basculin-blue-striped, darmanitan-zen, meloetta-pirouette, tornadus-therian, thundurus-therian, landorus-therian, kyurem-black, kyurem-white, keldeo-resolute, meowstic-female, aegislash-blade, pumpkaboo-small, pumpkaboo-large, pumpkaboo-super, gourgeist-small, gourgeist-large, gourgeist-super, venusaur-mega, charizard-mega-x, charizard-mega-y, blastoise-mega, alakazam-mega, gengar-mega, kangaskhan-mega, pinsir-mega, gyarados-mega, aerodactyl-mega, mewtwo-mega-x, mewtwo-mega-y, ampharos-mega, scizor-mega, heracross-mega, houndoom-mega, tyranitar-mega, blaziken-mega, gardevoir-mega, mawile-mega, aggron-mega, medicham-mega, manectric-mega, banette-mega, absol-mega, garchomp-mega, lucario-mega, abomasnow-mega, floette-eternal, latias-mega, latios-mega, swampert-mega, sceptile-mega, sableye-mega, altaria-mega, gallade-mega, audino-mega, sharpedo-mega, slowbro-mega, steelix-mega, pidgeot-mega, glalie-mega, diancie-mega, metagross-mega, kyogre-primal, groudon-primal, rayquaza-mega, pikachu-rock-star, pikachu-belle, pikachu-pop-star, pikachu-phd, pikachu-libre, pikachu-cosplay, hoopa-unbound, camerupt-mega, lopunny-mega, salamence-mega, beedrill-mega, rattata-alola, raticate-alola, raticate-totem-alola, pikachu-original-cap, pikachu-hoenn-cap, pikachu-sinnoh-cap, pikachu-unova-cap, pikachu-kalos-cap, pikachu-alola-cap, raichu-alola, sandshrew-alola, sandslash-alola, vulpix-alola, ninetales-alola, diglett-alola, dugtrio-alola, meowth-alola, persian-alola, geodude-alola, graveler-alola, golem-alola, grimer-alola, muk-alola, exeggutor-alola, marowak-alola, greninja-battle-bond, greninja-ash, zygarde-10-power-construct, zygarde-50-power-construct, zygarde-complete, gumshoos-totem, vikavolt-totem, oricorio-pom-pom, oricorio-pau, oricorio-sensu, lycanroc-midnight, wishiwashi-school, lurantis-totem, salazzle-totem, minior-orange-meteor, minior-yellow-meteor, minior-green-meteor, minior-blue-meteor, minior-indigo-meteor, minior-violet-meteor, minior-red, minior-orange, minior-yellow, minior-green, minior-blue, minior-indigo, minior-violet, mimikyu-busted, mimikyu-totem-disguised, mimikyu-totem-busted, kommo-o-totem, magearna-original, pikachu-partner-cap, marowak-totem, ribombee-totem, rockruff-own-tempo, lycanroc-dusk, araquanid-totem, togedemaru-totem, necrozma-dusk, necrozma-dawn, necrozma-ultra, pikachu-starter, pikachu-world-cap, articuno-galar, zygarde-10",951,generation-i,net-good-stats,17,"red-blue, yellow, gold-silver, crystal, ruby-sapphire, emerald, firered-leafgreen, diamond-pearl, platinum, heartgold-soulsilver, black-white, colosseum, xd, black-2-white-2, x-y, omega-ruby-alpha-sapphire, sun-moon, ultra-sun-ultra-moon"
recover,status,normal,,,5,0,user,Heals the user for half its max HP.,,"kadabra, alakazam, staryu, starmie, porygon, mewtwo, wooper, slugma, magcargo, corsola, porygon2, lugia, ho-oh, celebi, sableye, meditite, medicham, lileep, milotic, kecleon, chimecho, latias, latios, deoxys-normal, shellos, gastrodon, chingling, porygon-z, arceus, solosis, duosion, reuniclus, frillish, jellicent, elgyem, beheeyem, cryogonal, shelmet, accelgor, bergmite, avalugg, mareanie, toxapex, pyukumuku, blipbug, appletun, milcery, alcremie, pincurchin, eternatus, nacli, naclstack, garganacl, rellor, veluza, gholdengo, chien-pao, dipplin, hydrapple, pecharunt, deoxys-defense, deoxys-speed, alakazam-mega, mewtwo-mega-x, mewtwo-mega-y, medicham-mega, latias-mega, latios-mega, sableye-mega, articuno-galar, eternatus-eternamax, avalugg-hisui, wooper-paldea",73,generation-i,heal,0,
harden,status,normal,,,30,0,user,Raises the user's Defense by one stage.,,"metapod, butterfree, kakuna, beedrill, geodude, graveler, golem, grimer, muk, onix, krabby, kingler, staryu, starmie, pinsir, kabuto, kabutops, snorlax, sudowoodo, gligar, steelix, qwilfish, heracross, slugma, magcargo, corsola, silcoon, beautifly, cascoon, dustox, seedot, nuzleaf, shiftry, nincada, ninjask, shedinja, nosepass, aron, lairon, aggron, lunatone, solrock, corphish, crawdaunt, baltoy, claydol, anorith, armaldo, relicanth, shellos, gastrodon, bonsly, gliscor, probopass, roggenrola, boldore, gigalith, vanillite, vanillish, vanilluxe, ferroseed, ferrothorn, axew, larvesta, spewpa, carbink, bergmite, avalugg, diancie, grubbin, charjabug, vikavolt, wimpod, sandygast, palossand, pyukumuku, buzzwole, celesteela, stakataka, meltan, melmetal, cursola, overqwil, nacli, naclstack, garganacl, klawf, orthworm, glimmet, glimmora, tatsugiri, wormadam-sandy, pinsir-mega, heracross-mega, aggron-mega, steelix-mega, diancie-mega, grimer-alola, muk-alola, corsola-galar, qwilfish-hisui, avalugg-hisui, tatsugiri-droopy, tatsugiri-stretchy, ursaluna-bloodmoon",105,generation-i,net-good-stats,0,
minimize,status,normal,,,10,0,user,"Raises the user's evasion by two stages.

stomp and steamroller have double power against Pokémon that have used this move since entering the field.",,"clefairy, clefable, wigglytuff, grimer, muk, chansey, staryu, starmie, qwilfish, blissey, drifloon, drifblim, happiny, litwick, lampent, chandelure, silicobra, sandaconda, overqwil, grimer-alola, muk-alola, qwilfish-hisui",22,generation-i,net-good-stats,0,
smokescreen,status,normal,,100.0,20,0,selected-pokemon,Lowers the target's accuracy by one stage.,,"charmander, charmeleon, charizard, koffing, weezing, horsea, seadra, magmar, cyndaquil, quilava, typhlosion, slugma, magcargo, kingdra, magby, entei, whismur, torkoal, stunky, skuntank, spiritomb, magmortar, froakie, frogadier, greninja, skrelp, dragalge, rolycoly, carkol, coalossal, sizzlipede, centiskorch, charizard-mega-x, charizard-mega-y, greninja-battle-bond, greninja-ash, weezing-galar, typhlosion-hisui",38,generation-i,net-good-stats,0,
